H000637,Why did Scipio Aemilianus weep after destroying Carthage and salting the earth?,RECOGNIZED A SIMILAR FATE FOR ROME ONE DAY
H000638,What Roman general captured Corinth in 146 BC?,MUMMIUS
H000639,What Greek city did Mummius and the Romans capture in 146 BC?,CORINTH
H000640,Who captured the Spanish town of Numantia in 133 BC?,SCIPIO AEMILIANUS
H000641,What Spanish town did Scipio Aemilianus capture in 133 BC?,NUMANTIA
H000642,What last stronghold of Spanish resistance did the Romans capture in 133 BC?,NUMANTIA
H000643,Who were the famous cousins of Scipio Aemilianus?,TIBERIUS & GAIUS GRACCHUS
H000644,What is the modern day name of Lusitania?,PORTUGAL
H000645,What was the ancient name of Portugal?,LUSITANIA
H000646,What Lusitanian shepherd led a five year resistance against the Romans?,VIRIATHUS
H000647,Who captured an army of 50>000 Romans in Lusitania in 141 BC?,VIRIATHUS
H000648,From 146–141 BC who led an army of Lusitanians in resistance to the Romans?,VIRIATHUS
H000649,After he freed a trapped army of 50>000 Romans in return for peace> what Lusitanian shepherd was killed by three traitors?,VIRIATHUS
H000650,How did Viriathus die?,ROMANS BRIBED TRAITORS TO KILL HIM IN HIS SLEEP
H000651,What Spanish stronghold did the Romans starve into submission in 133 BC?,NUMANTIA
H000652,Who negotiated with Numantia for the release of 20>000 Roman soldiers in 137 BC?,TIBERIUS GRACCHUS
H000653,With what city did Tiberius Gracchus negotiate for the release of 20>000 Roman soldiers in 137 BC?,NUMANTIA
H000654,Who bequeathed his kingdom of Pergamum to the Romans in 133 BC?,ATTALUS III
H000655,What kingdom did Attalus III bequeathe to the Romans in his will in 133 BC?,PERGAMUM
H000656,In what year did Attalus III bequeathe Pergamum to the Romans in his will?,133 BC
H000657,Name both Gracchi brothers.,TIBERIUS & GAIUS GRACCHUS
H000658,Who were the famous sons of Cornelia whom she called her `jewels`?,TIBERIUS & GAIUS GRACCHUS
H000659,What did Cornelia call her sons Tiberius & Gaius Gracchus?,HER JEWELS
H000660,Who was the famous father of Cornelia> the mother of the Gracchi?,SCIPIO AFRICANUS
H000661,What is a tribune?,AN OFFICIAL ELECTED TO REPRESENT THE RIGHTS OF THE PLEBEIANS
H000662,How many tribunes were elected each year?,10; TEN
H000663,What unique power did tribunes have?,POWER TO VETO LEGISLATION
H000664,Which political office had the power to veto legislation?,TRIBUNE
H000665,What tribune was killed in 132 BC for seeking re-election?,TIBERIUS GRACCHUS
H000666,What tribune of 133 BC was killed for proposing radical legislation which favored the plebeians?,TIBERIUS GRACCHUS
H000667,What tribune of 123 BC was re-elected before he was killed for proposing radical legislation?,GAIUS GRACCHUS
H000668,What type radical legislation did both Tiberius and Gaius Gracchus try to introduce?,REDISTRIBUTION OF LARGE ESTATES OF LAND
H000669,What tribune proposed the creation of the colony Iunonia by redeveloping the area of Carthage?,GAIUS GRACCHUS
H000670,What colony did Gaius Gracchus propose establishing on the site of Carthage?,IUNONIA
H000671,Who led the mob which killed Tiberius Gracchus?,SCIPIO NASICA
H000672,Whose death was brought about by Scipio Nasica and an angry mob?,TIBERIUS GRACCHUS
H000673,What consul was responsible for killing Gaius Gracchus?,LUCIUS OPIMIUS
H000674,Whose death was brought about by Lucius Opimius and the SCU?,GAIUS GRACCHUS
H000675,What is a Senatus Consultum Ultimum?,SUPREME DECREE OF THE SENATE
H000676,Who was given the Senatus Consultum Ultimum to kill Gaius Gracchus?,LUCIUS OPIMIUS
H000677,What king of Numidia waged war with Rome from 111–104 BC?,JUGURTHA
H000678,What war did the Romans fight from 111–104 BC?,JUGURTHINE WAR
H000679,What were the years of the Jugurthine War?,111–104 BC
H000680,Who was the famous grandfather of Jugurtha?,MASSINISSA
H000681,What Numidian king fought for Scipio Aemilianus at Numantia?,JUGURTHA
H000682,Where did Jugurtha fight alongside the Romans led by Scipio Aemilianus?,NUMANTIA
H000683,What father-in-law of Jugurtha betrayed him by handing him over to the Romans in 104 BC?,BOCCHUS
H000684,What king of Mauretania betrayed Jugurtha by handing him over to the Romans in 104 BC?,BOCCHUS
H000685,To what Roman general did Bocchus hand over Jugurtha?,SULLA
H000686,What subordinate of Marius received Jugurtha from Bocchus?,SULLA
H000687,Which Roman became consul an unprecedented 7 times?,MARIUS
H000688,How many times did Marius serve as consul?,7; SEVEN
H000689,In what year did Marius hold his first consulship?,107 BC
H000690,In what year did Marius hold his last consulship?,86 BC
H000691,What small town was Marius from?,ARPINUM
H000692,What novus homo from Arpinum became consul seven times?,MARIUS
H000693,Who was the famous nephew of Marius?,JULIUS CAESAR
H000694,Which political party appealed to popular interests in Rome?,POPULARES
H000695,Which political party appealed to the interests of the Senate and aristocracy?,OPTIMATES
H000696,What chief leader of the Populares was famous for accepting soldiers whether or not they met property qualifications?,MARIUS
H000697,Whose military reforms included the reorganization of the Roman legion?,MARIUS
H000698,At what battle in 105 BC did the Cimbri & Teutones defeat a Roman army?,ARAUSIO
H000699,What two Gallic tribes defeated a Roman army at Arausio in 105 BC?,CIMBRI & TEUTONES
H000700,In what year did the Cimbri & Teutones defeat the Romans at Arausio?,105 BC
H000701,At what battle in 102 BC did Marius defeat the Teutones?,AQUAE SEXTIAE
H000702,Who defeated the Teutones at Aquae Sextiae in 102 BC?,MARIUS
H000703,In what year did Marius defeat the Teutones at Aquae Sextiae?,102 BC
H000704,At what battle in 101 BC did Marius defeat the Cimbri?,VERCELLAE
H000705,Who defeated the Cimbri at Vercellae in 101 BC?,MARIUS
H000706,In what year did Marius defeat the Cimbri at Vercellae?,101 BC
H000707,What tribune of 100 BC> who supported Marius> was pelted to death with roof tiles from the Curia?,SATURNINUS
H000708,What happened to the tribune Saturninus who was a supporter of Marius?,PELTED TO DEATH WITH ROOF TILES
H000709,To whom did Marius lose a struggle for supremacy in Rome?,SULLA
H000710,Who did Sulla defeat in a struggle for supremacy in Rome?,MARIUS
H000711,In what year did Marius die during his seventh consulship?,86 BC
H000712,Who contended with Marius for the command in the fight against Mithridates VI?,SULLA
H000713,Who was the first Roman general ever to lead a Roman army to occupy Rome itself?,SULLA
H000714,Why did Sulla lead an army to occupy Rome?,TO MAKE SURE COMMAND AGAINST MITHRIDATES VI WAS NOT TRANSFERRED TO MARIUS
H000715,What is a proscription list?,A LIST OF ENEMIES TO BE EXECUTED WITHOUT TRIAL
H000716,As dictator in 82 BC who set up the first proscription list?,SULLA
H000717,In what year did Sulla become dictator for life?,82 BC
H000718,Who was Sulla's leading general?,POMPEY
H000719,About whom did Sulla remark `I see in him many a Marius` when he met him as a teenager?,JULIUS CAESAR
H000720,What did Sulla remark when he met Julius Caesar as a teenager?,I SEE IN HIM MANY A MARIUS
H000721,What tribune of 91 BC was killed for trying to promote citizenship for the Latin allies?,LIVIUS DRUSUS THE YOUNGER
H000722,Why was the tribune Livius Drusus the Younger killed in 91 BC?,TRIED TO PROMOTE CITIZENSHIP FOR LATIN ALLIES
H000723,The assassination of what tribune in 91 BC sparked the Social War?,LIVIUS DRUSUS THE YOUNGER
H000724,What war did the Romans fight from 91–88 BC?,SOCIAL WAR
H000725,Against whom did Rome fight the Social War?,HER LATIN ALLIES
H000726,What Samnite general was one of Rome's main antagonists during the Social War?,MUTILUS
H000727,During what war did Mutilus lead the Samnites against the Romans?,SOCIAL WAR
H000728,What law of 90 BC extended many rights to the Latin allies and helped end the Social War?,LEX JULIA
H000729,In what year did the Lex Julua extend many rights the the Latin allies and help end the Social War?,90 BC
H000730,What veteran of Marius fled to Spain and led a resistance agaunst the Sullan government from 82–73 BC?,SERTORIUS
H000731,From 82–73 BC who led a resistance against the Sullan government in Spain?,SERTORIUS
H000732,Who was assassinated by his subordinate Perperna after being hunted down by Pompey?,SERTORIUS
H000733,What subordinate of Sertorius assassinated him?,PERPERNA
H000734,What ruler of Pontus fought three wars intending to overthrow Roman influence in the Eastern Mediterranean?,MITHRIDATES VI
H000735,In what year did Mithridates VI die?,63 BC
H000736,What Roman general campaigned against Mithridates for 8 years before his army mutinied?,LUCULLUS
H000737,When Lucullus' army mutinied> who received command against Mithridates VI?,POMPEY
H000738,Who brought the cherry tree from the East to Italy?,LUCULLUS
H000739,What type of tree did Lucullus bring from the East to Italy?,CHERRY TREE
H000740,What slave in a Capua gladiatorial school led a slave revolt against Rome from 73–71 BC?,SPARTACUS
H000741,In what city did Spartacus spark a slave rebellion against Rome?,CAPUA
H000742,Who put down the rebellion of Spartacus?,CRASSUS
H000743,Whose rebellion was put down by Crassus?,SPARTACUS
H000744,Who crucified 6000 slaves along the Via Appia after the rebellion of Spartacus?,POMPEY
H000745,How many slaves did Pompey crucify along the Via Appia after the rebellion of Spartacus?,6000; SIX THOUSAND
H000746,What Roman> the wealthiest of his day> joined Pompey and Caesar in the First Triumvirate?,CRASSUS
H000747,Who were the members of the First Triumvirate?,POMPEY> CAESAR & CRASSUS
H000748,In what year was the First Triumvirate formed as de facto rulers of Rome?,60 BC
H000749,Which triumvir was killed fighting the the Parthians at Carrhae in 53 BC?,CRASSUS
H000750,In what year was Crassus killed at Carrhae while fighting the Parthians?,53 BC
H000751,What Parthian general defeated and killed Crassus?,SURENAS
H000752,Where did Surenas defeat and kill the triumvir Crassus in 53 BC?,CARRHAE
H000753,Who hunted down the pirates harrassing the Mediterranean in only 3 months?,POMPEY
H000754,How long did it take Pompey to hunt down the pirates harrassing the Mediterranean?,3 MONTHS
H000755,In what two years did Pompey and Crassus share the consulship?,70 BC & 55 BC
H000756,Which two men shared the consulship in 70 BC and 55 BC?,POMPEY & CRASSUS
H000757,Who built Rome's first permanent theater in 55 BC?,POMPEY
H000758,In what year did Pompey build Rome's permanent theater?,55 BC
H000759,What was Rome's first permanent theater?,THEATER OF POMPEY
H000760,Who was Rome's sole consul in 52 BC?,POMPEY
H000761,In what year did Pompey serve as Rome's only consul?,52 BC
H000762,Which political party was Sulla a member of?,OPTIMATES
H000763,Which political party was Caesar a member of?,POPULARES
H000764,At what battle in 48 BC was Pompey defeated by Caesar and killed after fleeing to Egypt?,PHARSALUS
H000765,Who was defeated at the Pharsalus by Caesar in 48 BC?,POMPEY
H000766,What novus homo was born at Arpinum in 106 BC?,CICERO
H000767,Who was the most famous Roman orator?,CICERO
H000768,What was Cicero's full name?,MARCUS TULLIUS CICERO
H000769,In what year did Cicero become consul?,63 BC
H000770,What novus homo from Arpinum became consul in 63 BC?,CICERO
H000771,What does `Cicero` mean?,CHICKPEA
H000772,During his consulship> whose conspiracy against Rome did Cicero stop?,CATILINE
H000773,Who stopped the Catilinarian conspiracy during his consulship in 63 BC?,CICERO
H000774,After the execution of the Catilinarian conspirators who remarked `vixerunt`?,CICERO
H000775,What did Cicero remark after the Catilinarian conspirators were executed?,VIXERUNT (`THEY HAVE LIVED`)
H000776,What tribune had Cicero exiled for executing the Catilinarian conspirators without a trial?,CLODIUS PULCHER
H000777,Why did Clodius Pulcher have Cicero exiled?,EXECUTED CATILINARIAN CONSPIRATORS WITHOUT A TRIAL
H000778,After Caesar's death who delivered speeches against Marc Antony called the Philippics?,CICERO
H000779,What series of speeches did Cicero deliver against Marc Antony after the death of Caesar?,PHILIPPICS
H000780,Whose speeches against Philip II of Macedon were Cicero's Philippics modeled on?,DEMOSTHENES
H000781,When the Second Triumvirate was formed> who did Marc Antony place first on his proscription list?,CICERO
H000782,Who placed Cicero first on his proscription list when the Second Triumvirate was formed?,MARC ANTONY
H000783,Who was executed at Formiae on December 7> 43 BC?,CICERO
H000784,Where was Cicero executed on December 7> 43 BC?,FORMIAE
H000785,In what year was Cicero executed at Formiae?,43 BC
H000786,What is the rostra?,THE PUBLIC SPEAKING PLATFORM IN THE FORUM
H000787,What is the term for the public speaking platform in the Forum?,ROSTRA
H000788,Whose hand and head were placed on the rostra after his execution in 43 BC?,CICERO
H000789,What happened to Cicero's head and hand after he was executed?,PLACED ON THE ROSTRA
H000790,What does `rostra` mean?,PROWS OF SHIPS
H000791,Where did the prows used for the rostra come from?,ANTIUM
H000792,What statesman was referred to as `the consience of Rome`?,CATO THE YOUNGER
H000793,What statesman routinely opposed Julius Caesar and fought for the death penalty for Catiline and his co-conspirators?,CATO THE YOUNGER
H000794,Who earned the cognomen `Uticensis` for his fair administration in Utica during the Civil Wars?,CATO THE YOUNGER
H000795,Who committed suicide rather than being pardoned by Caesar after he was defeated at Thapsus?,CATO THE YOUNGER
H000796,What statesman was suspected of having an affair with Caesar's second wife Pompeia?,CLODIUS PULCHER
H000797,Who snuck into the Bona Dea festival at Caesar's house disguised as a woman?,CLODIUS PULCHER
H000798,What festival was Clodius Pulcher caught sneaking into at Caesar's house in 62 BC?,BONA DEA
H000799,Who divorced his second wife Pompeia over the Bona Dea scandal?,JULIUS CAESAR
H000800,Who famously said `Caesar's wife must be above suspicion`?,CAESAR
H000801,At Caesar's bidding> who arranged to have Cicero banished from Rome in 58 BC for overstepping his power as consul in 63 BC?,CLODIUS PULCHER
H000802,Who murdered Clodius Pulcher in 52 BC?,MILO
H000803,Who was murdered by Milo and his gang of thugs in 52 BC?,CLODIUS PULCHER
H000804,What is Julius Caesar's full name?,GAIUS JULIUS CAESAR
H000805,In what year was Julius Caesar born?,100 BC
H000806,In what year did Julius Caesar die?,44 BC
H000807,Who fulfilled his promise to crucify the pirates who captured him as a young man?,JULIUS CAESAR
H000808,What did Caesar promise to do the pirates who kidnapped him as a young man?,CRUCIFY THEM
H000809,What is an aedile?,OFFICIAL IN CHARGE OF PUBLIC ENTERTAINMENT
H000810,Which official was in charge of public entertainment?,AEDILE
H000811,In what year did Julius Caesar serve as aedile?,68 BC
H000812,What is a quaestor?,A TREASURER
H000813,Which officials were in charge of Rome's finances?,QUAESTOR
H000814,What is a praetor?,JUDGE
H000815,Which officals were in charge of judicial matters?,PRAETOR
H000816,In what year was Julius Caesar elected consul for the first time?,59 BC
H000817,What is the term for the standard order of the offices?,CURSUS HONORUM
H000818,Who was Caesar's co-consul in 59 BC?,BIBULUS
H000819,By what name was the year of Caesar and Bibulus' consulship jokingly referred to?,THE CONSULSHIP OF JULIUS AND CAESAR
H000820,How did Bibulus get on Caesar's bad side?,VETOED A LAND REFORM BILL
H000821,What is a Pontifex Maximus?,CHIEF PRIEST
H000822,In what year was Julius Caesar appointed Pontifex Maximus?,63 BC
H000823,In what year did Caesar join the First Triumvirate?,60 BC
H000824,What group of three men dominated Roman political affairs beginning in 60 BC?,FIRST TRIUMVIRATE
H000825,What is a proconsulship?,GOVERNORSHIP OF A PROVINCE
H000826,In what year did Caesar receive his proconsulship in Cisalpine Gaul?,59 BC
H000827,Where did Caesar go for his proconsulship?,CISALPINE GAUL
H000828,Who launched a major invasion of all of Gaul during his proconsulship?,JULIUS CAESAR
H000829,How long did Caesar's Gallic campaign last?,7 YEARS
H000830,Who was the author of `Commentaries on the Gallic Wars`?,JULIUS CAESAR
H000831,At what battle in 52 BC did Caesar defeat Vercingetorix and the Gauls?,ALESIA
H000832,Who defeated Vercingetorix and the Gauls at Alesia in 52 BC?,JULIUS CAESAR
H000833,What Gallic chieftain was defeated at Alesia in 52 BC?,VERCINGETORIX
H000834,What river in northern Italy were generals not allowed to lead their army across without the permission of the Senate?,RUBICON
H000835,Who led his army across the Rubicon and into the heart of Italy in 49 BC?,JULIUS CAESAR
H000836,What river did Caesar lead his army across in 49 BC?,RUBICON
H000837,What did Caesar reportedly say before crossing the Rubicon in 49 BC?,ALEA IACTA EST
H000838,What does `alea iacta est` mean?,THE DIE IS CAST
H000839,Who fled from Italy after Caesar crossed the Rubicon?,POMPEY
H000840,Against whom did Caesar fight a civil war?,POMPEY
H000841,At what battle in 48 BC did Caesar defeat Pompey and put him to flight?,PHARSALUS
H000842,Whom did Caesar defeat at Pharsalus in 48 BC?,POMPEY
H000843,What did Caesar reportedly say after the battle of Pharsalus?,HOC VOLUERUNT
H000844,What does `hoc voluerunt` mean?,THEY WANTED THIS
H000845,At what battle in 47 BC did Caesar defeat the forces of Pharnaces II in Asia Minor?,ZELA
H000846,In what year did Caesar defeat Pharnaces II at Zela?,47 BC
H000847,Who did Caesar defeat at Zela in 47 BC?,PHARNACES II
H000848,After what battle did Caesar reportedly say `veni> vidi> vici`?,ZELA
H000849,What does `veni> vidi> vici` mean?,I CAME> I SAW> I CONQUERED
H000850,What famous phrase did Caesar reportedly say after the battle of Zela?,VENI> VIDI> VICI
H000851,At what battle in 46 BC did Caesar defeat Pompey's sons & Cato the Younger?,THAPSUS
H000852,In what year did Caesar win the battle of Thapsus against Pompey's sons & Cato the Younger?,46 BC
H000853,At what battle in 45 BC did Caesar defeat the last of Pompey's supporters in Spain?,MUNDA
H000854,In what year did Caesar defeat the last of Pompey's supporters at Munda?,45 BC
H000855,What honor was bestowed on Caesar when he returned to Rome from Spain?,DICTATOR FOR LIFE
H000856,Which two men led the conspiracy to assassinate Caesar on March 15> 44 BC?,BRUTUS & CASSIUS
H000857,On what date was Caesar assassinated?,MARCH 15> 44 BC
H000858,Who was killed on the Ides of March in 44 BC?,JULIUS CAESAR
H000859,According to Shakespeare what did Caesar say when he died?,ET TU BRUTE?
H000860,Who was Caesar's first wife?,CORNELIA
H000861,Who was the daughter of Caesar and Cornelia?,JULIA
H000862,Who was Caesar's second wife?,POMPEIA
H000863,Who was Caesar's third wife?,CALPURNIA
H000864,Who did Caesar adopt as his son and heir in his will?,OCTAVIAN
H000865,What was Octavian's actual relationship to Caesar?,GREAT-NEPHEW
H000866,What descendant of the first consul of Rome plotted with Cassius to assassinate Caesar?,BRUTUS
H000867,Where was Caesar assassinated on March 15> 44 BC?,THEATER OF POMPEY
H000868,Who was killed at the Theater of Pompey on the Ides of March?,JULIUS CAESAR
H000869,At what battle of 42 BC did Octavian and Marc Antony defeat Caesar's assassins?,PHILIPPI
H000870,Who defeated Caesar's assassins at Philippi in 42 BC?,OCTAVIAN & MARC ANTONY
H000871,Who were the members of the Second Triumvirate?,MARC ANTONY> OCTAVIAN & LEPIDUS
H000872,What group included Lepidus> Octavian> and Marc Antony?,SECOND TRIUMVIRATE
H000873,In what year was the Second Triumvirate formed?,43 BC
H000874,What of 43 BC legallized the Second Triumvirate for 5 years?,LEX TITIA
H000875,What group was legally recognized by the Lex Titia of 43 BC?,SECOND TRIUMVIRATE
H000876,Where did Marc Antony> Octavian> and Lepidus meet in 43 BC to form the Second Triumvirate?,BONONIA
H000877,What law was passed at Bononia legally recognizing the Second Triumvirate?,LEX TITIA
H000878,At what battle of 40 BC did Octavian capture Fulvia and Lucius Antony?,PERUSIA
H000879,What wife and brother of Marc Antony did Octavian capture at Perusia?,FULVIA AND LUCIUS ANTONY
H000880,Who was the wife of Marc Antony?,FULVIA
H000881,In what year did Octavian defeat Fulvia and Lucius Antony at Perusia?,40 BC
H000882,Who was the Egyptian wife of Marc Antony?,CLEOPATRA
H000883,At what battle of 31 BC did Octavian defeat Marc Antony and Cleopatra?,ACTIUM
H000884,In what year did Octavian defeat Marc Antony and Cleopatra at Actium?,31 BC
H000885,What victory of Octavian effectively ended the Republic?,ACTIUM
H000886,At what battle of 43 BC did the consuls Hirtius and Pansa attempt to rescue Decimus Brutus who was under siege from Marc Antony?,MUTINA
H000887,What two consuls of 43 BC were killed in battle at Mutina?,HIRTIUS & PANSA
H000888,Who was besieged by Marc Antony at Mutina in 43 BC?,DECIMUS BRUTUS
H000889,At what battle of 36 BC did Octavian defeat Sextus Pompey near Sicily?,NAULOCHUS
H000890,What son of Pompey was committing acts of piracy near Sicily?,SEXTUS POMPEY
H000891,In what year did Octavian defeat Sextus Pompey at Naulochus?,36 BC
H000892,When did the officially empire begin?,27 BC
H000893,What general helped Octavian defeat Antony and Cleopatra at Actium?,AGRIPPA
H000894,What is another term for the empire?,PRINCIPATE
H000895,In what year did the Roman empire begin?,27 BC
H000896,In what year did the Western Roman empire end?,476 AD
H000897,What dynasty lasted from 27 BC–68 AD?,JULIO-CLAUDIAN
H000898,What were the years of the Julio-Claudian dynasty?,27 BC–68 AD
H000899,What was the original name of Augustus?,OCTAVIAN
H000900,To what did Octavian change his name when he became emperor?,AUGUSTUS
H000901,What were the years of Augustus' reign?,27 BC–14 AD
H000902,Which emperor ruled from 27 BC–14 AD?,AUGUSTUS
H000903,What is the term for the period of relative stability throughout the empire until the death of Marcus Aurelius?,PAX ROMANA
H000904,In what year did Augustus receive imperium from the Senate?,27 BC
H000905,Which emperor was responsible for the recovery of the legionary standards lost by Crassus at Carrhae in 53 BC?,AUGUSTUS
H000906,Augustus recovered the legionary standards lost by which triumvir at Carrhae in 53 BC?,CRASSUS
H000907,What is the Ara Pacis?,ALTAR OF PEACE
H000908,Which emperor dedicated the Ara Pacis in Rome in 9 BC?,AUGUSTUS
H000909,In what year did Augustus dedicate the Ara Pacis in Rome?,9 BC
H000910,What chief lieutenant of Augustus build the Pantheon?,AGRIPPA
H000911,What temple did Augutus' chief leiutenant Agrippa build?,PANTHEON
H000912,Which emperor later renovated the Pantheon?,HADRIAN
H000913,Which temple's doors were closed for the second time during Augustus' reign signifying peace?,TEMPLE OF JANUS
H000914,During which emperor's reign were the doors of Temple of Janus closed for the second time?,AUGUSTUS
H000915,What does closing the doors of the Temple of Janus signify?,PEACE
H000916,Which emperor reportedly said `I found Rome a city of brick> and left it a city of marble`?,AUGUSTUS
H000917,Which emperor exiled the poet Ovid for scandalous poetry?,AUGUSTUS
H000918,Which author did Augustus exile for his scandalous poetry?,OVID
H000919,What author cites the reason for his exile as `carmen et error`?,OVID
H000920,What three word phrase does the poet Ovid cite as the reason for his exile?,CARMEN ET ERROR
H000921,Which emperor famously said `festina lente`?,AUGUSTUS
H000922,What does `festina lente` mean?,MAKE HASTE SLOWLY
H000923,Which emperor reportedly said `acta est fabula` before he died?,AUGUSTUS
H000924,What did Augustus reportedly say before he died?,ACTA EST FABULA
H000925,What does `acta est fabula` mean?,THE STORY IS FINISHED
H000926,At what batttle in 9 AD were three Roman legions led by Varus completely destroyed by Arminius and the Germans?,TEUTOBERG FOREST
H000927,In what year were three Roman legions completely destroyed in the Teutoberg Forest by Arminius and the Germans?,9 AD
H000928,What Roman general was responsible for the disastrous defeat at the Teutoberg Forest?,QUINCTILIUS VARUS
H000929,What Germanic chieftain destroyed three Roman legions in the Teutoberg Forest?,ARMINIUS / HERMAN THE GERMAN
H000930,Who reportedly shouted `Varus give me back my legions` after the disaster at Teutoberg Forest?,AUGUSTUS
H000931,Who was the first wife of Augustus?,SCRIBONIA
H000932,Who was the daughter of Augustus and Scribonia?,JULIA
H000933,What nephew of Augustus did his daughter Julia marry?,MARCELLUS
H000934,What son-in-law of Augustus married his daughter Julia but died young with no hier?,MARCELLUS
H000935,In what year did Marcellus die leaving Augustus with no male hier?,23 BC
H000936,After Marcellus died> who did Julia marry?,AGRIPPA
H000937,How many children did Agrippa and Julia have?,5; FIVE
H000938,Whose 5 children included Gaius & Lucius Caesar> and Agrippina the Elder?,JULIA & AGRIPPA
H000939,What stepson of Augustus was Julia's third husband?,TIBERIUS
H000940,Why did Augustus exile his daughter Julia?,LOOSE MORALS AND LASCIVIOUS BEHAVIOR
H000941,Who was the son of Agrippina the Elder and Germanicus?,CALIGULA
H000942,What nephew of Tiberius was the father of Caligula?,GERMANICUS
H000943,Who was Augustus' second wife?,LIVIA
H000944,What son of Livia and stepson of Augustus succeeded Augustus as emperor?,TIBERIUS
H000945,Who recovered the standards lost by Varus in the Teuroberg Forest?,GERMANICUS
H000946,Who was the first emperor to be deified after his death?,AUGUSTUS
H000947,Which emperor reigned from 14–37 AD?,TIBERIUS
H000948,What were the years of Tiberius' reign?,14–37 AD
H000949,Which emperor eventually left Rome to rule from his palace on the island of Capri?,TIBERIUS
H000950,From what island did Tiberius rule for the last ten years of his reign?,CAPRI
H000951,Which unpopular emperor said `oderint dum probent`?,TIBERIUS
H000952,What does `oderint dum probent` mean?,LET THE HATE SO LONG AS THEY APPROVE
H000953,What evil advisor of Tiberius held great influence and executed many innocent men for treason?,SEJANUS
H000954,Who was executed for treason in 31 AD after executing many innocent men?,SEJANUS
H000955,In what year was Sejanus executed for treason?,31 AD
H000956,What sister-in-law of Tiberius had revealled the crimes of Sejanus to him?,ANTONIA
H000957,What woman revealed the crimes of Sejanus to Tiberius?,ANTONIA
H000958,After Sejanus was executed> who became Praetorian Prefect?,MACRO
H000959,Who replaced Sejanus as Praetorian Prefect?,MACRO
H000960,Which emperor reigned from 37–41 AD?,CALIGULA
H000961,What were the years of Caligula's reign?,37–41 AD
H000962,What does `Caligula` mean?,LITTLE BOOT
H000963,Which emperor received his nickname as a little boy from the soldiers under his father's command?,CALIGULA
H000964,What great general was the father of Caligula?,GERMANICUS
H000965,Which emperor named his horse Incitatus a senator?,CALIGULA
H000966,What horse did Caligula name a senator?,INCITATUS
H000967,Which member of the praetorian guard assassinated Caligula?,CASSIUS CHAEREA
H000968,Which emperor was assassinated by Cassius Chaerea in 41 BC?,CALIGULA
H000969,Which emperor reigned from 41–54 AD?,CLAUDIUS
H000970,What were the years of Claudius' reign?,41–54 AD
H000971,Which emperor was well-known for having a stutter?,CLAUDIUS
H000972,Who was found hiding behind a curtain and made emperor after Caligula's assassination?,CLAUDIUS
H000973,Which emperor invaded and conquered Britain in 43 AD?,CLAUDIUS
H000974,Which province did Claudius add in 43 AD?,BRITANNIA
H000975,Which emperor relied heavily on his freedmen as his chief advisors?,CLAUDIUS
H000976,What third wife of Claudius was executed for marrying another man and conspiring against him?,MESSALINA
H000977,Who executed his wife Messalina for marrying another man and conspiring against him?,CLAUDIUS
H000978,Who was the fourth wife of Claudius?,AGRIPPINA THE YOUNGER
H000979,Who was the son of Claudius and Messalina?,BRITANNICUS
H000980,Who were the parents of Britannicus?,CLAUDIUS & MESSALINA
H000981,Who was the son of Agrippina the Younger?,NERO
H000982,What stepson of Claudius married his daughter Octavia?,NERO
H000983,What daughter of Claudius did Nero marry?,OCTAVIA
H000984,Which emperor was reportedly killed by a bowl of poison mushrooms?,CLAUDIUS
H000985,What poisonous food was said to have killed Claudius?,MUSHROOMS
H000986,Who reportedly served Claudius a bowl of poisoned mushrooms?,AGRIPPINA THE YOUNGER
H000987,Who killed Britannicus to secure his own ascension to the imperial throne?,NERO
H000988,What son of Claudius did Nero kill to secure his ascension to the imperial throne?,BRITANNICUS
H000989,Which emperor reign from 54–68 AD?,NERO
H000990,What were the years of Nero's reign?,54–68 AD
H000991,Who were Nero's two famous teachers?,SENECA AND BURRUS
H000992,Which emperor was instructed by Seneca and Burrus during the first five years of his reign?,NERO
H000993,Which emperor had his wife Octavia put to death?,NERO
H000994,Which emperor ordered the assassination of his mother Agrippina the Younger?,NERO
H000995,Who survived several assassination attempts by her son Nero?,AGRIPPINA THE YOUNGER
H000996,Who surivived an attempt to sink her ship at sea?,AGRIPPINA THE YOUNGER
H000997,What admiral of Nero's fleet beat Agrippina the Younger to death?,ANICETUS
H000998,Who was beaten to death by Anicetus after several failed assassination attempts by Nero?,AGRIPPINA THE YOUNGER
H000999,What teacher of Nero was forced to commit suicide in 65 AD because of his involvement in the Pisonian Conspiracy?,SENECA THE YOUNGER
H001000,Who formed a conspiracy against Nero in 65 AD which implicated several famous Romans?,PISO
H001001,What religious group did Nero persecute?,CHRISTIANS
H001002,Who ruled during the Great Fire of 64 AD?,NERO
H001003,Who build his Domus Aurea on the land cleared by the Great Fire of 64 AD?,NERO
H001004,What did Nero build on the land cleared by the Great Fire in 64 AD?,DOMUS AUREA
H001005,Which emperor reportedly played his fiddle as he watched Rome burn?,NERO
H001006,What did Nero reportedly do while Rome burned?,PLAYED HIS FIDDLE
H001007,What British queen led a large rebellion against Nero?,BOUDICCA
H001008,Which emperor had to deal with the rebellion of Boudicca in Britain?,NERO
H001009,In 68 AD who led a rebellion against Nero?,VINDEX
H001010,Who put down the rebellion of Vindex in 68 AD?,VERGINIUS RUFUS
H001011,Who rebelled against Nero in 68 AD?,VINDEX
